zip,city,state,county,latitude,longitude
91377,Zcta 91377,CA,Ventura,34.184975,-118.766918
91381,Newhall,CA,Los Angeles,34.384545,-118.647017
91384,Castaic,CA,Los Angeles,34.506627,-118.699048
91401,Van Nuys,CA,Los Angeles,34.178483,-118.431791
91402,Panorama City,CA,Los Angeles,34.222506,-118.444689
91403,Sherman Oaks,CA,Los Angeles,34.147149,-118.463365
91405,Van Nuys,CA,Los Angeles,34.199824,-118.447609
91406,Van Nuys,CA,Los Angeles,34.195685,-118.490752
91411,Van Nuys,CA,Los Angeles,34.178522,-118.459234
91423,Sherman Oaks,CA,Los Angeles,34.148617,-118.433298
91436,Encino,CA,Los Angeles,34.151729,-118.490755
91501,Burbank,CA,Los Angeles,34.200992,-118.292773
91502,Burbank,CA,Los Angeles,34.177267,-118.310030
91504,Burbank,CA,Los Angeles,34.204568,-118.326365
91505,Burbank,CA,Los Angeles,34.173885,-118.346937
91506,Burbank,CA,Los Angeles,34.169706,-118.323548
91601,North Hollywood,CA,Los Angeles,34.169200,-118.372498
91602,Toluca Lake,CA,Los Angeles,34.150818,-118.368159
91604,Studio City,CA,Los Angeles,34.139082,-118.392751
91605,North Hollywood,CA,Los Angeles,34.207295,-118.400022
91606,North Hollywood,CA,Los Angeles,34.185767,-118.388323
91607,Valley Village,CA,Los Angeles,34.165783,-118.399795
91608,Universal City,CA,Los Angeles,34.138761,-118.350933
91701,Alta Loma,CA,San Bernardino,34.137563,-117.599944
91702,Azusa,CA,Los Angeles,34.280333,-117.866141
91706,Irwindale,CA,Los Angeles,34.097410,-117.968269
91709,Chino Hills,CA,San Bernardino,33.963746,-117.738491
91710,Chino,CA,San Bernardino,34.004473,-117.684702
91711,Claremont,CA,Los Angeles,34.127440,-117.715284
91719,Corona,CA,Riverside,33.863202,-117.535235
91722,Covina,CA,Los Angeles,34.097345,-117.906736
91723,Covina,CA,Los Angeles,34.084747,-117.886844
91724,Covina,CA,Los Angeles,34.080444,-117.854733
91730,Rancho Cucamonga,CA,San Bernardino,34.100970,-117.578820
91731,El Monte,CA,Los Angeles,34.078573,-118.043456
91732,El Monte,CA,Los Angeles,34.073420,-118.015344
91733,South El Monte,CA,Los Angeles,34.046243,-118.053748
91737,Alta Loma,CA,San Bernardino,34.152583,-117.577707
91739,Etiwanda,CA,San Bernardino,34.171699,-117.523020
91740,Glendora,CA,Los Angeles,34.119363,-117.855059
91741,Glendora,CA,Los Angeles,34.156529,-117.841605
91743,Guasti,CA,San Bernardino,34.839964,-115.967051
91744,Industry,CA,Los Angeles,34.031415,-117.936470
91745,Hacienda Heights,CA,Los Angeles,33.999005,-117.972146
91746,Bassett,CA,Los Angeles,34.044416,-117.985366
91748,Rowland Heights,CA,Los Angeles,33.974883,-117.900676
91750,La Verne,CA,Los Angeles,34.177070,-117.779803
91752,Mira Loma,CA,Riverside,33.994305,-117.535347
91754,Monterey Park,CA,Los Angeles,34.052922,-118.143465
91755,Monterey Park,CA,Los Angeles,34.050965,-118.114394
91759,Mt Baldy,CA,Los Angeles,34.263636,-117.699470
91761,Ontario,CA,San Bernardino,34.035602,-117.591528
91762,Ontario,CA,San Bernardino,34.059410,-117.674010
91763,Montclair,CA,San Bernardino,34.072329,-117.698315
91764,Ontario,CA,San Bernardino,34.074087,-117.605618
91765,Diamond Bar,CA,Los Angeles,33.986775,-117.820908
91766,Phillips Ranch,CA,Los Angeles,34.042286,-117.756106
91767,Pomona,CA,Los Angeles,34.083086,-117.737998
91768,Pomona,CA,Los Angeles,34.063516,-117.790379
91770,Rosemead,CA,Los Angeles,34.065493,-118.084529
91773,San Dimas,CA,Los Angeles,34.110186,-117.810390
91775,San Gabriel,CA,Los Angeles,34.114772,-118.089431
91776,San Gabriel,CA,Los Angeles,34.090776,-118.095091
91780,Temple City,CA,Los Angeles,34.101673,-118.055929
91784,Upland,CA,San Bernardino,34.141146,-117.655583
91786,Upland,CA,San Bernardino,34.105281,-117.662035
91789,Diamond Bar,CA,Los Angeles,34.018354,-117.854920
91790,West Covina,CA,Los Angeles,34.066964,-117.937007
91791,West Covina,CA,Los Angeles,34.061634,-117.893169
91792,West Covina,CA,Los Angeles,34.022581,-117.902359
91801,Alhambra,CA,Los Angeles,34.090728,-118.127527
91803,Alhambra,CA,Los Angeles,34.074736,-118.145959
91901,Alpine,CA,San Diego,32.810624,-116.710667
91902,Bonita,CA,San Diego,32.665762,-117.018657
91905,Boulevard,CA,San Diego,32.682149,-116.314445
91906,Campo,CA,San Diego,32.654863,-116.465373
91910,Chula Vista,CA,San Diego,32.637898,-117.057991
91911,Chula Vista,CA,San Diego,32.607008,-117.053949
91913,Chula Vista,CA,San Diego,32.619459,-116.985820
91914,Chula Vista,CA,San Diego,32.673652,-116.944653
91915,Chula Vista,CA,San Diego,32.623185,-116.949053
91916,Descanso,CA,San Diego,32.887991,-116.621359
91917,Dulzura,CA,San Diego,32.608865,-116.719661
91931,Guatay,CA,San Diego,32.846363,-116.557729
91932,Imperial Beach,CA,San Diego,32.573755,-117.120872
91934,Jacumba,CA,San Diego,32.648995,-116.152562
91935,Jamul,CA,San Diego,32.722157,-116.792813
91941,La Mesa,CA,San Diego,32.759327,-116.997260
91942,La Mesa,CA,San Diego,32.777999,-117.021511
91945,Lemon Grove,CA,San Diego,32.733176,-117.034164
91948,Mount Laguna,CA,San Diego,32.866646,-116.448325
91950,National City,CA,San Diego,32.670646,-117.094668
91962,Pine Valley,CA,San Diego,32.735124,-116.415160
91963,Potrero,CA,San Diego,32.626231,-116.610020
91977,Spring Valley,CA,San Diego,32.726236,-116.994318
91978,Spring Valley,CA,San Diego,32.724154,-116.940093
91980,Tecate,CA,San Diego,32.588866,-116.619172
92003,Bonsall,CA,San Diego,33.284926,-117.199489
92004,Borrego Springs,CA,San Diego,33.142077,-116.106046
92007,Cardiff By The S,CA,San Diego,33.023250,-117.274923
92008,Carlsbad,CA,San Diego,33.144219,-117.319439
92009,Carlsbad,CA,San Diego,33.095320,-117.243796
92014,Del Mar,CA,San Diego,32.965617,-117.248296
92019,El Cajon,CA,San Diego,32.776012,-116.880634
92020,El Cajon,CA,San Diego,32.795510,-116.969722
92021,El Cajon,CA,San Diego,32.841220,-116.872692
92024,Encinitas,CA,San Diego,33.056022,-117.259900
92025,Escondido,CA,San Diego,33.102005,-117.080420
92026,Escondido,CA,San Diego,33.212452,-117.116100
92027,Escondido,CA,San Diego,33.131156,-116.976997
92028,Fallbrook,CA,San Diego,33.390477,-117.209427
92029,Escondido,CA,San Diego,33.084281,-117.129422
92036,Julian,CA,San Diego,33.022474,-116.493688
92037,La Jolla,CA,San Diego,32.856347,-117.250058
92040,Lakeside,CA,San Diego,32.908904,-116.892002
92054,Oceanside,CA,San Diego,33.195534,-117.354538
92056,Oceanside,CA,San Diego,33.201242,-117.296984
92057,Oceanside,CA,San Diego,33.254610,-117.283379
92059,Pala,CA,San Diego,33.376467,-117.066121
92060,Palomar Mountain,CA,San Diego,33.346494,-116.852856
92061,Pauma Valley,CA,San Diego,33.298504,-116.924785
92064,Poway,CA,San Diego,32.983612,-117.019037
92065,Ramona,CA,San Diego,33.053006,-116.850651
92066,Ranchita,CA,San Diego,33.219365,-116.535247
92067,Rancho Santa Fe,CA,San Diego,33.020908,-117.190346
92069,San Marcos,CA,San Diego,33.170778,-117.158674
92070,Santa Ysabel,CA,San Diego,33.149301,-116.726767
92071,Santee,CA,San Diego,32.852358,-116.987842
92075,Solana Beach,CA,San Diego,32.997248,-117.260580
92078,Zcta 92078,CA,San Diego,33.115978,-117.180965
92082,Valley Center,CA,San Diego,33.254381,-117.002555
92083,Vista,CA,San Diego,33.197840,-117.248203
92084,Vista,CA,San Diego,33.219935,-117.202606
92086,Warner Springs,CA,San Diego,33.327021,-116.659989
92091,Zcta 92091,CA,San Diego,33.016044,-117.243552
92101,San Diego,CA,San Diego,32.724103,-117.170912
92102,San Diego,CA,San Diego,32.716221,-117.117058
92103,San Diego,CA,San Diego,32.747412,-117.166884
92104,San Diego,CA,San Diego,32.741501,-117.127948
92105,San Diego,CA,San Diego,32.737826,-117.092669
92106,San Diego,CA,San Diego,32.710818,-117.237613
92107,San Diego,CA,San Diego,32.739055,-117.245404
92108,San Diego,CA,San Diego,32.774046,-117.142454
92109,San Diego,CA,San Diego,32.786772,-117.234207
92110,San Diego,CA,San Diego,32.765244,-117.200391
92111,San Diego,CA,San Diego,32.806479,-117.168864
92113,San Diego,CA,San Diego,32.696525,-117.117827
92114,San Diego,CA,San Diego,32.707756,-117.055095
92115,San Diego,CA,San Diego,32.765001,-117.073643
92116,San Diego,CA,San Diego,32.764969,-117.123151
92117,San Diego,CA,San Diego,32.824567,-117.199521
92118,Coronado,CA,San Diego,32.699235,-117.209642
92119,San Diego,CA,San Diego,32.817888,-117.031956
92120,San Diego,CA,San Diego,32.794714,-117.071764
92121,San Diego,CA,San Diego,32.899592,-117.201203
92122,San Diego,CA,San Diego,32.861727,-117.171224
92123,San Diego,CA,San Diego,32.806777,-117.134914
92124,San Diego,CA,San Diego,32.823766,-117.092378
92126,San Diego,CA,San Diego,32.908406,-117.141293
92127,San Diego,CA,San Diego,33.011833,-117.132686
92128,San Diego,CA,San Diego,32.999819,-117.071808
92129,San Diego,CA,San Diego,32.966976,-117.126181
92130,San Diego,CA,San Diego,32.945791,-117.214366
92131,San Diego,CA,San Diego,32.886218,-117.083325
92139,San Diego,CA,San Diego,32.679875,-117.048900
92154,San Diego,CA,San Diego,32.557011,-117.006117
92173,San Ysidro,CA,San Diego,32.553630,-117.042502
92201,Chiriaco Summit,CA,Riverside,33.710984,-116.204844
92203,Indio,CA,Riverside,33.753960,-116.246488
92210,Indian Wells,CA,Riverside,33.692193,-116.341230
92211,Palm Desert,CA,Riverside,33.765401,-116.334205
92220,Banning,CA,Riverside,33.948948,-116.832362
92223,Beaumont,CA,Riverside,33.948254,-116.987836
92225,Lost Lake,CA,Riverside,33.736458,-114.687973
92227,Brawley,CA,Imperial,32.990121,-115.358757
92230,Cabazon,CA,Riverside,33.910412,-116.765723
92231,Calexico,CA,Imperial,32.687550,-115.541000
92233,Calipatria,CA,Imperial,33.172881,-115.553769
92234,Cathedral City,CA,Riverside,33.818256,-116.466743
92236,Coachella,CA,Riverside,33.686145,-116.172918
92239,Eagle Mountain,CA,Riverside,33.762149,-115.466100
92240,Desert Hot Sprin,CA,Riverside,33.951540,-116.520104
92241,Desert Hot Sprin,CA,Riverside,33.835639,-116.292771
92242,Big River,CA,San Bernardino,34.163216,-114.319121
92243,El Centro,CA,Imperial,32.770275,-115.598602
92249,Heber,CA,Imperial,32.725546,-115.472615
92250,Holtville,CA,Imperial,32.811001,-115.152865
92251,Imperial,CA,Imperial,32.881449,-115.675459
92252,Joshua Tree,CA,San Bernardino,34.168333,-116.288431
92253,La Quinta,CA,Riverside,33.641767,-116.273943
92254,Mecca,CA,Riverside,33.543835,-115.993906
92256,Morongo Valley,CA,San Bernardino,34.077059,-116.606626
92257,Niland,CA,Imperial,33.299478,-115.293842
92258,North Palm Sprin,CA,Riverside,33.915839,-116.559873
92259,Ocotillo,CA,Imperial,32.737701,-115.932182
92260,Palm City,CA,Riverside,33.708076,-116.403644
92262,Palm Springs,CA,Riverside,33.860925,-116.566176
92264,Palm Springs,CA,Riverside,33.708590,-116.497620
92266,Palo Verde,CA,Imperial,33.344936,-114.930437
92267,Parker Dam,CA,San Bernardino,34.273755,-114.196525
92268,Pioneertown,CA,San Bernardino,34.222079,-116.564222
92270,Rancho Mirage,CA,Riverside,33.768611,-116.429973
92273,Seeley,CA,Imperial,32.817225,-115.700076
92274,Salton City,CA,Riverside,33.460512,-116.084589
92275,Salton City,CA,Imperial,33.292095,-115.844166
92276,Thousand Palms,CA,Riverside,33.822330,-116.364238
92277,Twentynine Palms,CA,San Bernardino,34.141356,-115.621176
92278,Twentynine Palms,CA,San Bernardino,34.229973,-116.055053
92280,Vidal,CA,San Bernardino,34.112955,-114.633391
92281,Westmorland,CA,Imperial,33.051757,-115.608751
92282,White Water,CA,Riverside,33.979630,-116.683221
92283,Felicity,CA,Imperial,32.891548,-114.772944
92284,Yucca Valley,CA,San Bernardino,34.185894,-116.432416
92285,Landers,CA,San Bernardino,34.340222,-116.540435
92301,Adelanto,CA,San Bernardino,34.585234,-117.453724
92304,Amboy,CA,San Bernardino,34.541483,-115.644609
92305,Angelus Oaks,CA,San Bernardino,34.141671,-116.817981
92307,Apple Valley,CA,San Bernardino,34.571446,-117.133076
92308,Apple Valley,CA,San Bernardino,34.425262,-117.161732
92309,Baker,CA,San Bernardino,35.332155,-116.038586
92310,Fort Irwin,CA,San Bernardino,35.261739,-116.690639
92311,Barstow,CA,San Bernardino,34.980294,-116.964449
92313,Zcta 92313,CA,San Bernardino,34.031011,-117.312929
92314,Big Bear City,CA,San Bernardino,34.261092,-116.809496
92315,Big Bear Lake,CA,San Bernardino,34.233757,-116.903843
92316,Bloomington,CA,San Bernardino,34.059722,-117.391040
92317,Blue Jay,CA,San Bernardino,34.211175,-117.079624
92318,Bryn Mawr,CA,San Bernardino,34.839964,-115.967051
92320,Calimesa,CA,Riverside,33.990365,-117.052249
92321,Cedar Glen,CA,San Bernardino,34.253816,-117.150891
92323,Cima,CA,San Bernardino,34.839964,-115.967051
92324,Grand Terrace,CA,San Bernardino,34.024368,-117.289351
92325,Crestline,CA,San Bernardino,34.243482,-117.281304
92327,Daggett,CA,San Bernardino,34.863585,-116.862059
92328,Death Valley,CA,Inyo,36.597878,-116.827387
92332,Essex,CA,San Bernardino,34.912426,-115.342092
92333,Fawnskin,CA,San Bernardino,34.270608,-116.949312
92335,Fontana,CA,San Bernardino,34.085957,-117.465136
92336,Fontana,CA,San Bernardino,34.147718,-117.464506
92337,Fontana,CA,San Bernardino,34.049810,-117.470612
92338,Ludlow,CA,San Bernardino,34.782699,-116.190564
92339,Forest Falls,CA,San Bernardino,34.093661,-116.936222
92341,Green Valley Lak,CA,San Bernardino,34.236643,-117.062838
92342,Helendale,CA,San Bernardino,34.757047,-117.350142
92345,Hesperia,CA,San Bernardino,34.374627,-117.300435
92346,East Highland,CA,San Bernardino,34.127380,-117.183148
92347,Hinkley,CA,San Bernardino,34.957406,-117.219606
92352,Lake Arrowhead,CA,San Bernardino,34.259971,-117.199381
92354,Loma Linda,CA,San Bernardino,34.051177,-117.248563
92356,Lucerne Valley,CA,San Bernardino,34.510646,-116.896718
92358,Lytle Creek,CA,San Bernardino,34.259272,-117.520971
